,sentence,sentiment
36,bank gave a neutral recommendation and a share price target of crowns euro on swedish lock maker ab,neutral
37,the item included restructuring costs of m while a year earlier they were m diluted stood at versus a loss per share of,positive
38,in the bank posted a net profit of lt mn,neutral
39,afternoon as usual will be brutal get ready to lose a ton of money,negative
40,recalling pretty much every single model x got to short that even at work you jump in money trade,negative
41,dolce has asked the european union to declare corporation s floral pattern trademark invalid in a continuing dispute between the two companies,negative
42,intercontinental hotels global room revenue lags estimates,negative
43,according to finnish pension insurance company was the recipient of over two thirds of the revenue of the pension cover that was under competitive tendering in finland,positive
44,a portion million will be recorded as part of its winnings in a prior patent dispute with finnish phone maker,positive
45,lg still paying price for dividend cut during crisis chief says,negative
46,the volume of investments in the two phases of the project is estimated at mn mn,neutral
47,russia accounted for of the magazine division s revenue or mn mn in the usa for,neutral
48,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached million,positive
49,profit of the accounting period was mn,neutral
50,the six breweries recorded a percent growth in domestic beer sales last year to million liters from million liters sold in,positive
51,in the company s result before taxes totalled mn up from mn in the corresponding period in,positive
52,s sales and project resources will also be strengthened director paul said,positive
53,share price jumps as q sales top estimates,positive
54,the fine print is here,neutral
55,the price for logs has clearly improved from and also the price of pulpwood has gone up,positive
56,thus has in accordance with chapter section of the finnish companies act obtained title to all the shares of that are to be redeemed,neutral
57,diluted earnings per share fell to from,neutral
58,at pm eastern time a block of contracts changed hands at a bid price of,neutral
59,some of the most recent technology deliveries include refinery technology to aluminium an iron ore pelletizing plant to steel and iron ore sintering plants to steel,neutral
60,vips similar pattern like beginning of may did u sell same go up much higher after this drop,positive
61,the firm generated sales of in,neutral
62,has also had meetings with the labor authorities employment and economic development centres and representatives of the government in order to find solutions,neutral
63,profit down as sales of stalwarts fade,negative
64,rt chartology yahoo crazy looking chart but nearing breakout resistance line,positive
65,most bullish stocks on twitter during this dip gold ew more,positive
66,finnish s net sales decreased to in,negative
67,cohen steers inc shares representing of the share capital and voting rights,neutral
68,more staff has been recruited in japan to further complement its network of close to service locations in more than countries worldwide,positive
69,paper companies were in negative territories with r shedding pct to down pct at and b pct lower at,neutral
70,s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year,neutral
71,operating profit for the quarter amounted to m on sales of bn,neutral
72,atria chose the delight to attract consumers in the age group to its atria fresh range of meals,neutral
73,finnish it solutions provider hel said today its slipped to a net loss of in the second quarter of from a profit of in the corresponding period a year earlier,neutral
74,us sanctions put alliance plans in jeopardy,negative
75,profit for the period was mn down from mn in,neutral
76,profit for the period was mn up from mn,positive
77,operating profit fell to mn from mn in the second quarter of,neutral
78,however sales returned to growth in said,positive
79,operating profit totaled mn or of net sales,neutral
80,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the plant according to the company,negative
81,in connection with the deal will employ persons from in oslo and in silicon valley in the usa,neutral
82,the brazilian unit of finnish security solutions provider signed up new clients last year online news source reseller web quoted the division s commercial director vladimir as saying,positive
83,the fair value of the company s investment properties went down to billion at the end of from billion a year earlier,neutral
84,dealers said the share was largely hit by investor disappointment about a refining margin of just per barrel for the quarter and the performance of its shipping unit which saw drop to from a year amid a fall in volumes and tanker rates,negative
85,it is a testament to the quality of our solution and our commitment to the japanese market he added,neutral
86,the companies aim is to finalize the negotiations and sign the contracts at the start of october,neutral
87,foundries oy will discontinue production on this line by september the company said,neutral
88,a total six of the polled analysts rated two gave buy accumulate three gave hold and only one gave sell,neutral
89,in september the finnish group agreed to buy danish company rose poultry as for up to m in a combination of cash and stock,positive
90,yang double bottom,positive
91,share price down as grocer faces investigation outcome,negative
92,news is becoming very bullish again,positive
93,gs engineering will install the valves at a liquefied natural gas plant it has built for extraction and gas plants operator in,neutral
94,the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them,neutral
95,said there are no grounds for the rumors which have been circulating in the market for some months,neutral
96,said the matter was topical also in estonia where a bill has been drafted at the social affairs ministry that would scrap pensions on favorable conditions,neutral
97,moody s said it gave p a senior unsecured and p p debt ratings to finnish lender bank s bn euro note program of march,neutral
98,recall,negative
99,the liquidity providing was interrupted on may when group s shares traded below cent s stock exchange release,neutral
100,bucks weak markets to see assets rise percent,positive
101,at pm the helsinki index was pct lower at,negative
102,the decision means temporary layoffs of fixed duration at the company s and units in southern and central finland respectively,neutral
103,the value of the orders is over mn,neutral
104,ms will be responsible for s hr functions and for their development in all of the group areas,neutral
105,is also engaged in the global supply of marine and energy equipment solutions and services through its associated company corporation,neutral
106,aberdeen asset management gains foothold in china,positive
107,finland s dominating rail company vr is planning to set the infected passengers for trip in a separate carriage,neutral
108,in november the finnish government decreased its ownership in the company further to percent from percent,neutral
109,finnish composites a technology company that designs manufactures and markets composite profiles and tubes for various industrial applications reports its net sales decreased by in the second quarter of to mn from mn in the corresponding period in,neutral
110,of s and s joint ventures tools completes that are produced in italy into tools that will be sold under the brand,neutral
111,the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind,neutral
112,is a short below into the upper bb and is overbought,negative
113,lights out before curfew curl up with the latest bestseller and treat your eyes to the perfect reading light from,neutral
114,corp the world s largest maker of magazine paper on tuesday reported a percent profit drop as lower paper prices higher costs and a strong euro hurt revenue,negative
115,the total value of the contract is some million,neutral
116,the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire shares to the amount determined by the board in advance in the maximum,neutral
117,mr has been with since and acted as the business unit manager for s power controls business unit since january,neutral
118,the sq m sq ft store in copenhagen s premier shopping district was inaugurated today further strengthening the company s presence in nordic capitals,positive
119,in the financial statement for the first quarter of is reported under discontinued operations,neutral
120,the world s second largest stainless steel maker said net profit in the period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year,positive
121,name of applicant jot automation of inventor and no of filing of application publication date,neutral
122,grows efforts to create loyal customers,positive
123,the nordic index comprising the most traded nordic stocks on the exchange closed down at points on thursday,negative
124,nibbling on a small long via buying off min charts,positive
125,the operating margin of aker yards cruise ferries division went down from to in the first quarter of,negative
126,just about to break out to new highs lots of looking great right now,positive
127,currently group vice president human resources will take a yearlong sabbatical starting from october,neutral
128,whats up with lulu numbers looked good not great but good i think conference call will instill confidence,neutral
129,the adjustment measures will be carried out in phases to secure the delivery capability,neutral
130,alma media corporation press release march and being bought by two local papers and appearing in and its neighbouring municipalities are to be bought by oy,neutral
131,temporary layoffs affecting the entire workforce will also be implemented,negative
132,a meeting for the media and analysts will be held on the same day at am at headquarters in helsinki a the interim report will be presented by s,neutral
133,finnish manufactures approximately seven forest machines monthly and about half of machines are exported,neutral
134,near a buy point last week faces a different technical test today fb,positive
135,february finnish broadband data communication systems provider hel said wednesday its net profit rocketed to m in from in and it lifted its dividend proposal,positive
136,free ha comes the pump so glad i picked up k end of day get ready for the bull ride,positive
137,finnish technology group group helsinki issued its third quarter report on thursday november posting an operating profit of m as compared to a loss of m in the third quarter of,positive
138,the building complex consists of office and retail space totalling square metres the company said,neutral
139,finnish insurance company and group are ending their loyal customer cooperation,neutral
140,the unit is planned to be operational during the second half of and in full stream in,neutral
141,s share in the deal is estimated at some euro,neutral
142,the plant is expected to enter commercial operation by mid,neutral
143,has also investigated the sales opportunities of s electronics business,neutral
144,bg group appoints new one month early,neutral
145,the acquisition will have an immediate positive impact on s financial result,positive
146,s passenger load factor which measures the number of sold seats as a share of all available seats dropped by percentage points to in september,negative
147,rt looks primed also poised to run too,positive
148,it is also pct above the month volume weighted average price of the stock,positive
149,coke dividend dividend for passive income coke takes it goog ko,neutral
150,profit before taxes was mn up from mn a year earlier,positive
151,the subsidiary is setting up a facility for manufacturing interconnection printed circuit boards or at s special economic zone at near,neutral
152,sep calls are since entry bang,positive
153,in diluted loss per share stood at versus in the first half of,negative
154,said it estimates it will make savings of a year by centralising its french operations at one site,positive
155,got a nice push today following small sweepers of may c this morning,positive
156,that topped consensus forecasts for earnings of euros a share,positive
157,rd loan,neutral
158,in future the company intends to look for knowhow from outside the company and to cooperate with other actors in the sector,positive
159,you need to be ready when the window opens up said,neutral
160,more than tonnes of asphalt mix will be used in the contract,neutral
161,pa chase and co and bank are joint on the senior unsecured deal,neutral
162,breaking out here on good vol and a parser buy signal noticed this on bob comments looking for fast,positive
163,sales in finland decreased by in january while sales outside finland dropped by,neutral
164,the pulp production in finnish will also be liquidated and about employees loose their jobs,negative
165,was the cheapest also for a couple in their s with debt,neutral
166,jussi member of the board since will renounce his seat in board,neutral
167,tesla is recalling model x cars,negative
168,adjusted for changes in the group structure the division s net sales increased by,positive
169,making matters more difficult the company said it has been grappling with higher oil and gas prices which have pushed up the cost of energy raw materials and transportation,neutral
170,the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company,positive
171,the solution will now be expanded to include all ground staff tasks,neutral
172,operating loss totalled mn compared to a profit of mn in the third quarter of,negative
173,on looking for a sharp move up in equities hd low fb seeing getting hammered even though market is down,positive
174,net sales totaled mn up from mn in the corresponding period in,positive
175,as a consequence the works council had withdrawn its petition to suspend the,neutral
176,is happy with the company s performance in,positive
177,comparable net sales are expected to increase more than in in line with group target,positive
178,following the transaction has worldwide rights for excluding north america mexico turkey and,positive
179,the government started the last month putting an percent stake in on the auction bloc,neutral
180,the report goes on to provide detailed profiles of ten leading european specialty chemicals companies and brief profiles of other major players,neutral
181,both operating profit and net sales for the period increased respectively from m and as compared to the corresponding quarter in,positive
182,the company expects its net sales for the whole to be at previous year levels,neutral
183,the company is headquartered in finland and is listed on the nordic exchange in helsinki,neutral
184,commission income increased by to mn and lending volume rose by,positive
185,the finnish company sold its operation consisting of staff in offices in london birmingham and manchester as part of a deal with in july for its property and casualty arm industrial,neutral
186,in the building and home improvement trade sales decreased by to mn,negative
187,the building will be located close to downtown in the immediate vicinity of and the travel center and within walking distance from the heart of the city thanks to the trade fair bridge,neutral
188,finnish textiles and clothing group posted a net profit of euro for compared to euro for,neutral
189,the main strength of the cooperation project lies in merging the knowhow of two large companies,positive
190,shareholders have a right to put on the agenda of the items that are within the competence of the general meeting,neutral
191,and finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in and the surrounding countries,positive
192,due to the rapid decrease in net sales personnel reductions have been carried out on a wider scale than initially expected,neutral
193,the government has instead proposed an exchange of the state s stake in to s stake in,neutral
194,is due to release its and earnings on,neutral
195,operating result for was million negative,neutral
196,got hit hard lower this am looks like it has found support a,negative
197,in had net sales of million m,neutral
198,the company has established a g base station at about feet at the foot of mount everest that will enable mountain climbers at the foot summit to surf the internet and even send videos of their exploits,positive
199,we offer our customers solutions based on renewable raw materials,neutral
200,a survey conducted by for life shows that companies are badly prepared to losing key staff members,neutral
201,president of s industrial solutions unit told financial news the company has put off opening the mine as prices of phosphate have been quite depressed for a long time,neutral
202,the pretax profit of the group s life insurance business increased to from,positive
203,we make available the following market analyses cement pakistan cement malaysia cement taiwan cement philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries,neutral
204,the company serves approximately customers in over countries,neutral
205,rt are still acting weak spy,negative
206,operating profit totalled mn down from mn a year earlier,neutral
207,one of the installed elevators will be a elevator which enables more efficient use of the building s core space,positive
208,helsinki said it has agreed to sell the nickel mine in finland to canadian group belvedere resources for worth of belvedere shares,neutral
209,just went long,positive
210,social networking and service trends comprise a significant share of the internet traffic today and are appealing to mid users,neutral
211,a total of the order value was booked in the fourth quarter of and the remainder will be booked in the second quarter of,neutral
212,johnson share price slumps as company posts results,negative
213,there have not been previous share subscriptions with stock options,neutral
214,builds highly it solutions for its customers in finland and the baltic countries,neutral
215,the closing of the transaction is scheduled to take place on january,neutral
216,however the offering will probably not be made at the current valuation which partly derives from the deal in which the company was merged into a stock market shell,neutral
217,operating result for the month period decreased from the profit of m while turnover decreased from m as compared to,neutral
218,the administrators have indicated a need for job cuts at the irish insurer over the next months,neutral
219,net sales in are expected to be on the same level as in,neutral
220,technical indicators for the stock are bullish and sp gives a positive stars out of buy ranking,positive
221,revenue for the quarter totaled billion down percent from billion in the fourth quarter in,negative
222,operates processing facilities independently as well as in partnership with municipalities,neutral
223,the number of bodily injury cases quadrupled in,negative
224,according to ringman finnish paper companies have acquired knowhow and capacity in paper recycling which has turned out to be a successful strategy,positive
225,the company also said that in poland a profitability program has been launched at the steel frame and sandwich panel plant,positive
226,and us energy executives say high steel prices are threatening energy exploration,negative
227,sales rise shows tentative recovery continues,positive
228,in finland the launch of sales of g mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days,neutral
229,held up well after the big gains maybe were finally on the move on still very undervalued and has major upside,positive
230,the company can be split into two parts over the coming months with owning and operating production and supply and owning and operating the grid,neutral
231,officials did not disclose the contract value,neutral
232,london s leading shares today jumped almost points or as the market opened,positive
233,in the third quarter of fiscal swung to a net loss of versus a net profit of for the corresponding period of fiscal,neutral
234,the group s operating loss was mn down from a profit of mn in,neutral
235,the move was triggered by weak demand for forestry equipment and the uncertain market situation,negative
236,the combined company had proforma net sales of euro and an operating profit of euro for,neutral
237,managing director kari says that s leasing operations developed highly favourably,positive
238,march estimates that there are negative prospects for the norwegian mobile operations of norway s asa tel and sweden s ab in the short term,negative
239,steaming up again this stock is relentless at the moment,positive
240,marathon estimates the value of its remaining stake in at million,neutral
241,share price climbs on q sales growth,positive
242,contract manufacturing is a subsidiary of corporation of finland,neutral
243,operating profit totaled mn up slightly from mn in the corresponding period in,positive
244,we went to the market with yield guidance of the area which gave us the flexibility to go up or down by th,neutral
245,rt think shorting here into close might be play spy high beta worth a shot,negative
246,combined with devices enhances productivity enabling workers to use a single device to perform voice scanning and keyboard functions,positive
247,thus the method will cut working costs and will fasten the planning and building processes,positive
248,s net sales in september were smaller than expected,negative
249,copyright news and financial news logo are registered trademarks of news limited,neutral
250,daily phase retest price experiencing early rejection can it retest,negative
251,will reportedly appoint howard davies as its next chairman,neutral
252,sales fall as march of the discounters,negative
253,with this new version it is very important for us to introduce a bim process that is based on the detailed building information model,neutral
254,jarmo head of investor relations and group communications tel distribution helsinki the principal media financial supervisory authority this announcement is distributed by on behalf of clients,neutral
255,sees apple at share in a year from today on growing services business,positive
256,pharmaceutical market in poland global research data services published recently a market analysis about the pharmaceutical markets in poland,neutral
257,altogether has canceled over flights because of the strike,negative
258,the employer together with health personnel supports quitting and pays part of the cost of nicotine treatments,neutral
259,pretax loss totaled mn compared to a loss of mn in the corresponding period,neutral
260,the order includes ship cranes that will be delivered for container feeders to be built at shipyard in china,neutral
261,copper lead and nickel also dropped plummeted to pence after saying this year,neutral
262,goog testing the day after some consolidation,positive
263,he joins from where he has held various positions within the group most recently as director of service business and business development for s middle eastern operations,neutral
264,we succeeded in increasing our market share of sold apartment comments mr kari head of international construction services,positive
265,profitability was compared to in the period,positive
266,finnish s net sales decreased to in,neutral
267,the plant is scheduled for completion in late february with hand over of some areas in january two other suppliers of group and have announced their plans to establish plants within the complex together they will invest rs crore,neutral
268,upgraded to inline from by,positive
269,slump in weir leads down from record high,negative
270,jan ford is struggling in the face of slowing truck and sales and a surfeit of cars,neutral
271,royal mail breached competition law over delivery service changes claims,negative
272,the cooperation will involve arena partners buying a share of the new joint venture company operating in alma media s home sales vehicle and consumer advertising marketplace businesses,neutral
273,the plant at in central finland is one of the largest employers in the region,neutral
274,however rentals are becoming more popular,neutral
275,deputy chairman of the board juri told on wednesday that this was the first time he heard about the strike as the swedish side had not informed the estonian union yet,neutral
276,closes in on new chairman with john allan in the frame,positive
277,the device offers multimedia performance along with a host of productivity applications including live stock prices,neutral
278,sales climbed pct to surpassing the consensus figure,positive
279,fb turns back down in early trading,negative
280,utah s capital wanted to be the next us headquarters of sports corp a company,neutral
281,old mutual sales up buoyed by emerging markets,positive
282,the dividend is payable on february to shareholders of record on january,neutral
283,sales in finland decreased by in january while sales outside finland dropped by,negative
284,furthermore will also sign a licensing agreement for the and brands,positive
285,corporation stock exchange release at corporation and today signed an agreement by which acquires the share capital of a subsidiary wholly owned by,positive
286,lulu outlook q lost revenue in the range of million to million not good,negative
287,mobile communication and wireless broadband provider inc today set new financial targets and forecasts for and the mobile device industry and also for siemens networks and the mobile and fixed infrastructure and related services market,neutral
288,additional information by president and tel is a global expert in consulting and engineering,neutral
289,danish company has acknowledged that it has violated a patent held by finnish,neutral
290,amanda capital has investments in private equity funds and in over unquoted companies mainly in europe,neutral
291,net interest income was mn up from mn,positive
292,lang updates hat die die finale version,neutral
293,morgan expects that scala will lower nobel s growth forecast for from the current guidance of pct as well as the operating margin target from the current pct,neutral
294,promises higher dividends to boost flagging share price,positive
295,in addition mids are always online and enable full internet browsing,neutral
296,has a strong portfolio of international brands which include silva and buster,positive
297,tesla model x recall adds to reliability issues,negative
298,the name of the buyer was not disclosed,neutral
299,net sales of the vegetable oil business rose to mn from mn,positive
300,under the agreement s forthcoming range of twig integrated gps navigation and mobile phone devices will use the jointly developed tracking and location technology in both consumer and commercial applications,neutral
301,following this increase s registered share capital is m and the number of shares outstanding is,neutral
302,the three year turnaround program is expected to ensure salomon s future competitiveness the company said,positive
303,in the autumn it plans to expand service to st petersburg and moscow and launch service to russia flying there three times a week,positive
304,the company s profit totaled ls in h down,negative
305,the federal secretary for transport and communication of mexico has awarded and its mexican partner a consulting contract in connection with the suburban railway,positive
306,approves drug for advanced lung cancer,positive
307,the order is included in s fourth quarter order backlog,neutral
308,oy has earlier been regarded under the control of oy and the individual shareholders under the shareholder agreement,neutral
309,which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share,positive
310,rolling over for a new low bottom pickers continue to get destroyed,negative
311,the company has an annual turnover of m,neutral
312,it has branches in finland with annual revenue in finland of,neutral
313,the portfolio comprises of m of leasable space with a vacancy rate of roughly let to around tenants of which two of the largest are the swedish government and,neutral
314,boosts sales despite cautious clients,positive
315,the operative targets of the company remain unchanged,neutral
316,adp news finnish retailer hel said today its total sales excluding value added tax vat stood at million m in january down,negative
317,consumers have very well received our packed fresh meat,positive
318,the corrected chapter is in its entirety below,neutral
319,the major part of the deliveries include different ac and amplifier solutions and products by a company acquired by last spring,neutral
320,itself uses s mobile suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers,positive
321,it will provide heating in the form of hot water for the sawmill s needs,neutral
322,however the net sales declined to million from billion,negative
323,in the second quarter of s net loss narrowed to from million in the same period of,positive
324,technical alerts island buy setup stochastic buy signal lizard bullish hammer candlestick wid,positive
325,the record date for dividend distribution is march,neutral
326,in a move to enhance growth,positive
327,the is using its own funds to provide a million a loan while the b portion of million euros has been syndicated to two finnish commercial banks bank finland million euros and bank million euros,neutral
328,stockholm march about the group is a consultancy that offers global for solutions,neutral
329,he said he has been losing five families a month to the economy as many make alternative arrangements to save money,negative
330,milan the italian shipping group has increased its stake in the finnish company to pct from the pct held in june according to news agency ansa,neutral
331,commenting on the deal shane of marketing product development at said,neutral
332,external net sales from the printing business fell by partly due to the termination of the printing contract between s printing house oy and sector player media ab in december and the fall in printing prices,neutral
333,the group intends to relocate warehouse and office space in and saint marcel to in the east of the country where it already operates a hook manufacturing and distribution unit,neutral
334,the firm is headquartered in southern finland and has employees,neutral
335,at pm the helsinki was pct lower at and the helsinki was down pct at on volume of,neutral
336,we are honored to be recognized by as a specialist in business process modeling and analysis in the company of many of the largest software vendors in the world,positive
337,banking corp is to issue a benchmark year deal in euros,neutral
338,includes company and brand share data by category as well as distribution channel data,neutral
339,for the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the trade register,neutral
340,price momentum weakening going into the close,negative
341,through the acquisition will expand its solutions offering by s dynamics business software products,positive
342,the company s profit totaled ls,neutral
343,leed is an internationally recognized green building certification system developed by the us green building council,neutral
344,however its market share shrank to per cent from per cent a year earlier,negative
345,hires bae systems to investigate attack,negative
346,looks like its booking a one way ticket to its week ma near losing week here lulu,neutral
347,led lower by ms,negative
348,the exercise price of the option will be based on software solutions license and maintenance sales as well as the result of the company,neutral
349,operating result for was million negative,negative
350,the company said production volumes so far indicate the circuit is capable of the targeted output rate of tonnes per day or million tonnes a year,neutral
351,jun boy genius report delivered by the n huh,neutral
352,we have come out with a decision which is based on our preliminary economic operational and environmental findings said,neutral
353,the new majority owners of thailand co are certain private persons belonging to immediate circle of s present joint venture partner,neutral
354,some euro of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of new shares,neutral
355,established in the group is a private finnish construction concern with operations in finland the baltic countries and russia,neutral
356,the business section also includes s report,neutral
357,city is the environment for a economy providing work for people with the total turnover of its companies amounting to bn said lo chairman of the supervisory board of city and mainor,neutral
358,has been supporting s investment of developing storage sites since as owner s engineer,neutral
359,the company had earlier said that it was considering different strategic options for the struggling mobile operator including a divestment of its holding,neutral
360,and will all cut petrol prices as oil falls,negative
361,sells benchmark indices unit to,positive
362,operating profit in the fourth quarter fell to from a year earlier,neutral
363,finnish forestry company and waste management company said on jan they were planning to produce ethanol and energy from commercial and industrial waste,neutral
364,isms does not disclose its financial results the daily said,neutral
365,the contract covers the manufacturing and installation of the steel structures,neutral
366,finnish metal industry solutions supplier net profit rose to euro for the first nine months of from euro for the same period of,positive
367,under the deal know it will pay m in cash and stock,neutral
368,for the first nine months of the company s net profit rose to from for the corresponding period of,positive
369,turned up crossover a away on the weekly break out likely,positive
370,has million in cash and no sales,neutral
371,that bearish outside day tuesday is significant day resistance still intact just my opinion sds,negative
372,all rights reserved,neutral
373,it will be operated by and supported by its network and service management system,neutral
374,mr balti s owner said the company wishes to increase s market share from to a third in a couple of years,positive
375,shire sees deal closing as expected after new rules,positive
376,rogers to replace home retail,neutral
377,marathon now has a percent stake in it said according to,neutral
378,simmons elected chairman a simmons of service credit union has been elected chairman of the defense credit union council for the term,neutral
379,news advertising sales decreased by during the year,negative
380,pharmaceutical market in czech republic global research data services published recently a market analysis about the pharmaceutical markets in czech republic,neutral
381,finnish construction company is reducing the number of startups of residential units in to about from the previously announced,neutral
382,cash flow from operations for the most recent quarter also reached a eight year low,neutral
383,was down pct to extending recent lows after last week s report dealers said,negative
384,the maritime administration said the ships had ignored warnings about the icy conditions,negative
385,synergy soars today on positive phase results,positive
386,operating profit rose to mn from mn in the corresponding period in,positive
387,making matters more difficult the company said it has been grappling with higher oil and gas prices which have pushed up the cost of energy raw materials and transportation,negative
388,vertex monthly lower lo long term uptrend so far,positive
389,financial details were not disclosed,neutral
390,these include software development for internet and mobile telephone content communications software financial services security applications systems integration and electronics informed,neutral
391,lodged counter claims against oil totaling some primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project,neutral
392,should you follow berkshire into apple stock,neutral
393,the total amount of subscription prices was recorded in the fund for invested nonrestricted equity,neutral
394,th wave down on the hour chart hammer candle developing close to sma might be a good spot for calls,positive
395,strongest growth was seen in the new markets in russia the czech republic and,positive
396,the tower s engineers have created an degree westward lean four times the inclination on the leaning tower of pisa using structures that are aligned geometrically using structures bim building information modeling software,neutral
397,which bought salomon from in october said the job cuts are aimed at boosting competitiveness,neutral
398,ab ss fell percent to kronor the lowest close since dec,negative
399,with the measures corporation aims to ensure the competitiveness of the flexible packaging business in the long term,positive
400,bullhorn shorts are getting nervous,positive
401,the financial statements release will be available after publishing on the company s internet pages at,neutral
402,the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition register now at,neutral
403,comparable operating profit totaled mn down from mn in the corresponding period in representing of net sales,negative
404,most of the raw materials come from europe and the us and are paid in euros or us dollars while sales take place in rubles,neutral
405,may finnish cutlery and hand tools maker abp hel said today its net profit declined to million m in the first quarter of from million in the correspond,neutral
406,a maximum of new shares can further be subscribed for by exercising b options under the stock option plan,neutral
407,it inspects the strategic strengths and weaknesses,neutral
408,no planned closing date was provided,neutral
409,the group headquartered in helsinki finland operates in all sectors of the construction industry civil engineering building contracting technical building services and the building materials industry,neutral
410,the implementation of the deal is subject to the approval by the finnish competition authority,neutral
411,also churned up its courtship agreeing to use the mapping service which is offered by a company bought for billion a few years ago,positive
412,the team further provides an intriguing new technology combining gps and technologies together with social networking,neutral
413,the c expo is a signature show in which is supported by the municipal government every year featuring computer accessories software communication and network products,neutral
414,pharmaceuticals poland this market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland,neutral
415,trading in the new shares which have right to dividends and other distributions of funds will start on the exchange in helsinki tomorrow,neutral
416,the engines of the vessel can operate on liquefied natural gas with low emissions,neutral
417,among other finnish shares traded in the us closed pct lower at was up pct at and was down pct at,neutral
418,in addition to the presentations held by president kai and participants will have an opportunity to discuss with other members of the company s management,neutral
419,the change in holdings in accordance with chapter section of the finnish securities markets act is described below,neutral
420,with capman as a partner we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers says christopher wynne of papa john s russia,positive
421,the cranes would be installed onboard two freighters ordered by ship owner,neutral
422,the business to be divested generates consolidated net sales of million annually and currently has some employees,neutral
423,finnish real estate investor hel said today that it slipped to a net loss of million m in from a profit of million in,neutral
424,the company which has bn in assets counts among its five largest shareholders finnish insurers and as well as the finnish state pension fund ver,neutral
425,in addition a further employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed,neutral
