,sentence,sentiment
33,in january traffic measured in revenue passenger went up by and capacity measured in available seat ask rose by,positive
34,in net profit went up by to million and net sales to million from million,positive
35,net income from life insurance rose to mn from mn and net income from nonlife insurance to mn from mn in,positive
36,has also agreed to supply to up to tonnes of sulphuric acid per annum for use in s leaching process during the period of supply of the zinc in concentrate,positive
37,sales have risen in other export markets,positive
38,sales increased due to growing market rates and increased operations,positive
39,the agreement strengthens our partnership with siemens networks,positive
40,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached million,positive
41,the company s order book stood at euro on september up by pct on the year with international orders amounting to euro,positive
42,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year,positive
43,the world s second largest stainless steel maker said net profit in the period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year,positive
44,s revenue increased by to m in finland revenue went down by to m while sales abroad rose by to m sales increased in all the baltic countries as well as in russia and ukraine,positive
45,shares of standard chartered stan rose in the while royal bank of scotland shares rose and shares were up,positive
46,shares of corp rose thursday after the cell phone maker said its earnings almost doubled and its share of the global handset market increased,positive
47,in its financial report published on friday said its net profit soared to bn in from a bn and proposed a dividend increase to per share,positive
48,at the request of finnish media company alma media s newspapers research manager at the finland futures research centre at the school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver,neutral
49,in sweden accumulated denominated sales were down and denominated sales were up,neutral
50,when this investment is in place atria plans to expand into the moscow market,neutral
51,in june it sold a percent stake to and the investment group has now taken up the option to acquire s remaining shares,neutral
52,stock exchange announcement july share subscriptions with warrants and increase in share capital a total of shares have been subscribed with warrant program,neutral
53,the new plant is planned to have an electricity generation capacity of up to megawatts mw and the same heat generation capacity,neutral
54,the helsinki index was up pct at and the helsinki cap portfolio index was pct higher at,positive
55,a maximum of new shares can further be subscribed for by exercising b options under the stock option plan,neutral
56,on the route between helsinki in finland and in estonia cargo volumes increased by while cargo volumes between finland and sweden fell by,neutral
57,raised the sales by percent to million liters while the sales of grew by percent to liters,positive
58,operates stores in six countries including its core finnish market and generated a turnover of in,neutral
59,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide network into the mediterranean africa and north america says,positive
60,the company still expects its turnover in to slightly increase from the level of adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year,positive
61,the acquisition will considerably increase s sales and market position in the russian metal industry coatings market,positive
62,in net sales rose to mn from mn in the corresponding period in,positive
63,adjusted for changes in the group structure the division s net sales increased by,positive
64,the change will optimize the operational efficiencies of our growing business said julia director of marketing communications for,positive
65,february finnish broadband data communication systems provider hel saw its net profit jump to m for the last quarter of from for the same period of,positive
66,finnish group s operating profit rose to mn in the first quarter of from mn in the first quarter of,positive
67,finnish bank of land s consolidated net operating profit increased from mn in the first quarter of to mn in the first quarter of,positive
68,finnish financial group reports operating profit of mn in up from mn in the corresponding period in,positive
69,finnish high technology provider group reports net sales of mn in the accounting period september february an increase of from a year earlier,positive
70,net sales of finnish food industry company s continuing operations increased by in to mn from mn in,positive
71,an individual promotion also generated slightly revenues,positive
72,already services many current genesis customers and the customer base is expected to expand as a result of this agreement,positive
73,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period in,positive
74,circulation revenue has increased by in finland and in sweden in,positive
75,clothing chain s net sales increased by to mn,positive
76,construction volumes meanwhile grow at a rate of percent annually,positive
77,finnish and swedish construction markets are still experiencing an estimated annual growth in,positive
78,however estimates its total net sales will continue to grow in and that favourable trends in net sales will lead to a profit in,positive
79,in cash flow from operating activities amounted to up from in the previous year,positive
80,in lithuania operating profit rose to from in the corresponding period in,positive
81,in the fourth quarter of net sales increased by to mn from mn in the fourth quarter of,positive
82,international sales rose by to mn,positive
83,net sales grew in the period to million us million from million in,positive
84,net sales increased to in april to june from a year earlier,positive
85,net sales rose by to m as the number of chargers delivered went up by to million pieces,positive
86,net sales totaled mn up from mn in the corresponding period in,positive
87,operating profit increased by to mn from mn,positive
88,operating profit margin increased from to,positive
89,operating profit rose to mn from mn in the corresponding period in,positive
90,operating profit rose to mn from mn in the fourth quarter of,positive
91,operating profit was mn up from mn,positive
92,s net sales in the second june were euro million about us million a percent increase compared with euro million for quarter last year,positive
93,revenue grew by percent to million million from million,positive
94,announced that it has signed an agreement with aker solutions of norway to supply suction anchors in september from its unit in finland,positive
95,s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by to said,positive
96,magazines net sales are estimated to grow in,positive
97,the bank forecasts finland s will grow by in and in,positive
98,the company s consolidated operating profit amounted to mn up from mn,positive
99,the department store division reported an increase in sales of per cent,positive
100,the fair value of the company s investment properties grew to billion at the end of march from million a year ago,positive
101,the last quarter was the best quarter of in net sales and the operating margin rose to,positive
102,the major breweries increased their domestic beer sales by per cent last year to million litres from million litres in,positive
103,the transaction doubles and adds a fourth to their net sales,positive
104,operating profit rose by to million,positive
105,after this purchase will become the second largest rental services provider in the latvian market,positive
106,the purchase of the operations is part of s strategy to expand its offering of building system services geographically,positive
107,october finnish fishing tackle company corp hel said today its net profit rose to m for the first nine months of from m for the same period a year earlier,positive
108,according to finnish minerals the value of the company s orders has gone up to bn in months,positive
109,finnish solution has signed a contract of supply its gold system to two french retail chains,positive
110,finnish bank of land reports its operating profit rose to mn in the second quarter of from mn in the corresponding period in,positive
111,finnish financial group s operating profit for increased to mn from mn in,positive
112,finnish forest machinery manufacturer s net sales grew to mn in the first quarter of from mn in the corresponding period in,positive
113,finnish has raised its net sales growth estimate for from over to over,positive
114,finnish that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company have signed a contract under which will supply mono silicon crystals for use in solar cell manufacturing,positive
115,finnish pharmaceuticals company orion s net sales rose to mn in the first quarter of from mn in the first quarter of,positive
116,finnish has signed an agreement with babcock africa for the distribution and support of forest machines harvester heads and information systems in south africa,positive
117,south african will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish corporation s graphic papers business unit,positive
118,according to deputy md the aim is double turnover over the next three years,positive
119,according to finland the plan is to increase s net sales to mn to mn,positive
120,advertising and circulation revenues grew by and by respectively,positive
121,after the takeover will become the second largest rental services provider in the latvian market,positive
122,again the most significant sales increase of was in russia,positive
123,alma media expects its net sales to increase as forecast previously,positive
124,also s profit for accounting period went up to mn from mn a year ago,positive
125,at the end of march the group s order book was at mn up from the corresponding period in,positive
126,at the same time profit of the company increased by in h and reached ls,positive
127,both operating profit and net sales for the month period increased respectively from m and m as compared to the financial year,positive
128,both operating profit and net sales for the month period increased respectively from m and m as compared to the financial year,positive
129,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
130,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
131,both operating profit and net sales for the period increased respectively by and as compared to the corresponding period in,positive
132,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
133,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
134,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
135,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
136,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
137,both operating profit and net sales for the period increased respectively from m and as compared to the corresponding quarter in,positive
138,both operating profit and sales for the period increased respectively from m and m as compared to the corresponding period in,positive
139,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
140,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period in,positive
141,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
142,cargo volume grew by,positive
143,cargo volume increased by approximately,positive
144,comparable operating profit totaled mn up from mn in,positive
145,said its consolidated net sales for were m up on the same period in m,positive
146,diluted earnings per share rose to from,positive
147,diluted earnings per share rose to versus,positive
148,diluted earnings per share rose to from,positive
149,diluted earnings per share rose to from,positive
150,diluted rose to from,positive
151,margin was up from to,positive
152,for the quarter was as compared with in the third quarter of representing a group net sales for the third quarter were m up by as compared with m in the third quarter of,positive
153,from continuing operations came in at up from,positive
154,equity ratio was compared to in the third quarter of net sales of the frozen foods business totaled up by about from the third quarter of,positive
155,in q may finnish textile and clothing design company hel said today its net profit rose to in the first quarter of from in the corresponding period a year earlier,positive
156,se a privately held provider of electronics manufacturing services to communications companies said thursday it signed a manufacturing supply deal with communications equipment company andrew corp,positive
157,finnish cutlery and hand tools maker abp hel said today its net profit rose to million m in the third quarter of from million a year earlier,positive
158,finnish department store chain abp net profit rose to euro for the first nine months of from euro for the same period of,positive
159,finnish lifting equipment maker said on july that its net profit rose to euro for the first half of from euro for the same period of,positive
160,finnish messaging solutions developer corporation helsinki said on thursday december that it has received an expansion order for its convergent charging solution in latin america,positive
161,finnish metal industry solutions supplier net profit rose to euro for the first nine months of from euro for the same period of,positive
162,finnish metal products company net profit rose to euro for the first quarter of from euro for the same period of,positive
163,finnish office supplies and computer accessories dealer said its net profit rose to euro in from euro in,positive
164,finnish security and privacy software solutions developer said on january that the preliminary sales of its products grew by pct to euro for the fourth quarter of,positive
165,finnish silicon wafer technology company helsinki reported on thursday august an operating profit of m for the period up from m in the corresponding period in,positive
166,finnish software developer done solutions said its net profit increased to euro in from euro in,positive
167,first quarter underlying operating profit rose to from a year earlier,positive
168,following the acquisition will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,positive
169,for the first nine months of the company s net profit rose to from for the corresponding period of,positive
170,helsinki retail and wholesale group reported net sales of for february an increase of pct,positive
171,however net sales in are seen to have grown to m from m in,positive
172,however sales returned to growth in said,positive
173,which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share,positive
174,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million litres,positive
175,in december alone the members of the lithuanian brewers association sold a total of million liters of beer an increase of percent from the sales of million liters in december,positive
176,in the group s net interest income increased to mn from mn in,positive
177,in q of bank of land s net interest income increased from mn to mn,positive
178,in sweden operating profit for the period under review totaled mn up from the corresponding period in,positive
179,in the fourth quarter of orion s net profit went up by to,positive
180,in the second quarter of the group s net profit rose to million from million in,positive
181,in the second quarter of the group s net profit rose to m from m in,positive
182,in the third quarter net sales increased by to million or by at comparable currency rates growth,positive
183,in the third quarter net sales increased by to m or by at comparable currency rates growth,positive
184,its market share widened to percent from percent a year earlier,positive
185,the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of million euros in an increase by over the preceding year,positive
186,s car import and retailing business saw sales grow by pct,positive
187,s net sales rose by some in the first nine months of,positive
188,adp news finnish management software solutions provider hel said today its net profit rose to million m for from million for,positive
189,adp news finnish it solutions provider hel said today its net profit rose to million m in from million in,positive
190,adp news finnish fishing tackle company corp hel said today its net profit rose to million m for from million for,positive
191,adp news nov finnish electronic measurement products and solutions maker said today that its net profit rose to million m for the first nine months of from,positive
192,adp news oct finnish lifting equipment maker said today that its net profit rose to million m in the first nine months of from million for the s,positive
193,expects its net sales to increase by about in at comparable exchange rates,positive
194,oil corp has signed procurement contracts with oy and protein oy both owned by finnish food manufacturers for the supply of animal fat for production at s bcd finland refinery,positive
195,net interest income increased by to mn from mn in,positive
196,net interest income was mn up from mn in,positive
197,net interest income was mn up from mn,positive
198,net sales of the vegetable oil business rose to mn from mn,positive
199,multimedia s net sales totaled bn up from the corresponding period in,positive
200,operating income rose to mn from mn in,positive
201,operating profit of group rose to mn from mn and that of marketplaces to mn from mn in the third quarter of,positive
202,operating profit rose from mn to mn,positive
203,operating profit rose to from,positive
204,operating profit rose to mn from mn in the corresponding period in,positive
205,operating profit rose to mn from in the corresponding period in,positive
206,operating profit rose to mn from mn in the corresponding period in,positive
207,operating profit rose to mn from mn in the corresponding period in,positive
208,operating profit rose to mn from mn in,positive
209,operating profit rose to mn from mn in the corresponding period in,positive
210,operating profit rose to mn from mn,positive
211,operating profit rose to mn from mn,positive
212,operating profit rose to mn from mn in the corresponding period in,positive
213,operating profit rose to m from m year earlier,positive
214,operating profit surged to from,positive
215,operating profit totaled mn up slightly from mn in the corresponding period in,positive
216,operating profit totaled mn up from mn,positive
217,operating profit was mn up from mn,positive
218,operating profit was mn up from mn,positive
219,order intake grew by and respectively to million and billion for the respective and periods,positive
220,orders received grew by to,positive
221,orion s operating profit increased by from,positive
222,passenger volumes rose by in the accounting period,positive
223,revenue rose by to mn from mn in,positive
224,pretax profit rose to mn from mn in the corresponding period in,positive
225,pretax profit rose to mn from in the corresponding period in,positive
226,pretax profit rose to mn from mn in,positive
227,pretax profit totaled mn up from mn,positive
228,previously the company had guided for and sales growth of pct and pct respectively for this year,positive
229,profit for the period totaled mn up from mn in the corresponding period in,positive
230,profit for the period was mn up from mn,positive
231,profit for the period was mn up from mn in,positive
232,revenue grew percent to billion us billion,positive
233,revenue in july to september grew percent to euro million from a year earlier the company said thursday,positive
234,revenues at the same time grew percent to million euros,positive
235,has signed a contract to deliver and install the steel structures for a bridge over the strait in finland,positive
236,sales in latin america increased by to mn and a total of mn mobile devices were sold in the area representing an increase of from the corresponding period in,positive
237,magazines finland s net sales grew to mn from mn,positive
238,s net profit for the third quarter of rose to euro from euro for the same period of,positive
239,section regional news the demand in s asian traffic measured in passenger kilometers was up in august compare to last year,positive
240,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million liters,positive
241,that would be an increase from estimated sales of million last year,positive
242,the chain posted sales of million euros for full a rise of percent,positive
243,the company expects its net sales in to increase from,positive
244,the company is in the process of building a new fleet and has placed orders for tankers of dwt,positive
245,the company s operating income totalled mn up from mn,positive
246,the outlook was increased by pct for and pct for,positive
247,the fair value of the investment properties totaled mn up from mn in,positive
248,the finnish government announced wednesday that it sold a percent stake in chemicals and fertilizer group for million us million sending the company s share price up percent,positive
249,the german company has also signed a code share agreement with another member american airlines inc part of corp,positive
250,the company which also owns the salomon atomic and brands said net profit rose percent in the three months through dec to million us million from million a year earlier,positive
251,the operating profit for grain trading increased to mn from mn in,positive
252,the stock rose for a second day on wednesday bringing its rise to or,positive
253,the stock rose for a third day on tuesday bringing its rise to or,positive
254,the transactions would increase earnings per share in the first quarter by some,positive
255,there has been some recovery of the base metals prices and increased demand for metals in china however,positive
256,this new representation extends s global presence to a total of countries serving over customers in over countries worldwide,positive
257,total operating revenue grew by to,positive
258,s cash flow from operations grew to mn from mn a year ago,positive
259,we also strengthen our existing partnership with says cto,positive
260,via the acquisition plans to further expand its market presence as a video services partner for cable operators broadcasters and service providers,positive
261,with the acquisition the company will expand its offering to north central and south america it said,positive
262,s product sales grew strongly in the financial period by percent,positive
263,the second quarter of was the with growth in net sales since the third quarter of said magnus,positive
264,the transaction strengthens our position in design and branded goods said president and pointing out that the two groups have relatively few overlapping operations,positive
265,february finnish textile and clothing company hel said today its preliminary operating profit grew to m in from m in,positive
266,finnish has signed a contract with the project for the delivery of filters to the nickel mine in in finland,positive
267,expects its net sales for the whole to increase from the level when they reached million,positive
268,cash flow from operations rose to mn from mn in,positive
269,commission income rose by to mn from mn in,positive
270,earnings per share for were an increase of,positive
271,earnings per share rose to from,positive
272,said mobile subscriptions grew percent during mainly because of customers adopting third generation mobile technology,positive
273,for the quarter came in at up from a year ago and ahead of forecast of,positive
274,grew to from,positive
275,exports grew percent to million liters,positive
276,finnish investment group said its net profit went up to euro in fiscal ended october from euro in the same period of fiscal,positive
277,finnish metal components supplier said its net profit went up to euro in from euro in,positive
278,finnish silicon wafer technology company helsinki reported on thursday october an operating profit of m for up from m in the corresponding period in,positive
279,brands report net sales of mn up from mn,positive
280,helsinki technology said it has signed a agreement with mongolia s mining corporation for the engineering of the first plant to be built at the mine site,positive
281,however the proportion of the paid standing orders grew in,positive
282,in addition to the demand in finland the export of lining stone products also increased,positive
283,in the group s net sales from continuing operations rose to mn from mn in the corresponding period in,positive
284,in s net sales increased to mn compared to mn in the corresponding period in,positive
285,in the reporting period net sales rose by to m due to the business acquisitions realized during the first half of the effect of which was m in the review period,positive
286,in the reporting period the company s operating profit grew by to million,positive
287,last year s net sales rose to million from million,positive
288,last year the company raised its turnover to approximately million litas from million litas in,positive
289,group s net sales are estimated to increase by about,positive
290,net sales surged by to million,positive
291,net sales went up by to million affected by the business acquisitions realized during the previous financial period the effect of which was million on the review period,positive
292,nevertheless its market share rose to percent from percent a year earlier,positive
293,the world s largest mobile phone manufacturer and china postel china s largest mobile phone distributor have a longstanding partnership that continues to grow stronger over time,positive
294,sales were or a pct increase year on year,positive
295,which controls a percent stake in through a le said in its annual report published earlier this year that the lithuanian brewery s sales reached million euros last year a rise of percent from million euros in,positive
296,expects sales and market share to increase in the first quarter of,positive
297,operating profit increased to mn from mn in the corresponding period in,positive
298,operating profit of the asian plants grew markedly,positive
299,operating profit totaled mn up from mn in,positive
300,operating profit totalled mn up from mn,positive
301,production capacity will increase from to tonnes per year and the raw material will continue to be recycled paper and board,positive
302,profit for the period increased from mn to mn,positive
303,profit per share was up from,positive
304,return on capital employed rose by percentage points to,positive
305,revenue from july to september grew percent to euro billion the finnish company said thursday,positive
306,revenue grew percent to euro million us million from euro million,positive
307,s order book at the end of was up and up,positive
308,sales in finland rose by and international growth was,positive
309,sales of security and system packaging increased slightly,positive
310,s pretax profit doubled to mn,positive
311,strongest growth was seen in the new markets in russia the czech republic and,positive
312,the airline has ordered nine airbus a aircraft with deliveries from and in doing so becomes the lead airline for the latest variant of trent series engines called the,positive
313,the company s market share is continued to increase further,positive
314,the company s scheduled traffic measured in revenue passenger grew by just over and nearly more passengers were carried on scheduled flights than in february,positive
315,the company said that its investments in the new market areas resulted in sales increase in sweden poland russia and lithuania,positive
316,the disposal of will also strengthen s capital structure commented of,positive
317,the earnings per share for the quarter came in at up from the of the same quarter a year earlier,positive
318,the economic occupancy rate of s property portfolio rose to from in,positive
319,the finnish supplier of and vas for operators has received expansion orders worth a total us mn for its convergent charging and next generation messaging solutions in latin america the company announced without specifying which operators had placed the orders,positive
320,the group s month operating profit grew percent to million euros,positive
321,the growth of net sales in the first half of has been compared with the first half of,positive
322,the pretax profit of the group s life insurance business increased to million from million,positive
323,the pretax profit of the group s life insurance business increased to from,positive
324,the total delivery volume of paper businesses in was tonnes up from tonnes in,positive
325,the value of the firm s forestry holdings increased by bn,positive
326,this new deal has strengthened the partnership from and which it has started since the beginning of s prepaid operations,positive
327,turnover rose to from,positive
328,xerox and have teamed up to tailor the to the packaging market,positive
329,the upgrade is intended to raise the network capacity from mhz to mhz in several cities enabling bidirectional services for digital television as well as broadband data,positive
330,according to its notice ab publ helsinki branch has on august divested in total alma media shares to and oy as the conditions of the agreement made by the companies on july fulfilled,neutral
331,at the same time the market for automated liquid handling devices is already larger than that for pipettes according to,neutral
332,finnish mining co hel said thursday it had picked lynch and as joint of its planned issue of convertible notes worth up to,neutral
333,lead production in turn should increase to tonnes through in what would be a twofold increase from current capacity levels said,positive
334,separately corporation and austrian firm e ag last week signed an agreement on the sale of e s building system service business in germany austria poland the czech republic hungary and for,positive
335,the estimated value of the contract is m headquartered in helsinki in finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry,neutral
336,the mall is part of the baltic pearl development project in the city of st petersburg where baltic pearl a subsidiary of shanghai foreign joint investment company is developing homes for people,neutral
337,controls a further of the company via investment fund power fund i,neutral
338,this order is included in s order book in the second quarter the company added,neutral
339,management decided at the end of to increase cathode copper capacity,neutral
340,complete name of the shareholder otto further information the amount of shares now transferred corresponds to of the total number of shares in,neutral
341,a data processing unit collects the data calculates values and provides the data to users via various interfaces,neutral
342,alexandria va march salmi and hanna both of finland and of ii finland have developed an ornamental design for a handset the us patent trademark office announced,neutral
343,alexandria va oct markka a and both of helsinki finland juha of finland and of finland have developed a system for providing communications security,neutral
344,as earlier reported tyres is building a plant in the town of in russia s leningrad region with an annual production capacity of million tires,neutral
345,german ag s hamburg branch and us morgan participated as arrangers and dutch ing inga as,neutral
346,in april separated from its parent company finnish energy company and became listed on the helsinki stock exchange,neutral
347,increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan,neutral
348,it has some offices worldwide and more than pct of its net sales are generated outside finland,neutral
349,it has branches in finland with annual revenue in finland of,neutral
350,messaging enables customers to receive from up to email accounts on their mobile phone supporting all pop or email services,neutral
351,share repurchase in the helsinki stock exchange on behalf of bank as helsinki branch,neutral
352,picked up shares as a dividend at a book value of per share,neutral
353,the agreement will provide the switch with double the converter capacity whilst opening up further manufacturing locations in china,positive
354,the contract covers installation training and startup services,neutral
355,the contract value amounts to about the company added,neutral
356,to be number one means creating added value for in everything we do,neutral
357,hong standard chartered bank said it has signed a china mobile phone dealer financing agreement with making it the first foreign bank to offer financing to the country s small and medium enterprise lr,positive
358,provides summary of the medical equipment pipeline products that the company is developing,neutral
359,of course we are in talks with all those coming up with new projects that involve material handling president and said when asked whether it was talking to reliance industries for supplying equipment to its upcoming refinery in,neutral
360,a corresponding increase of euros in s share capital has been entered in the trade register today,neutral
361,a in august ordered all production lines for a new green veneer mill to be built in central lithuania,neutral
362,said that there are still a number of operational aspects to be defined between it and and further details of the product and market initiatives resulting from this agreement will be available at a later date,neutral
363,alexandria va may kenneth bower of vista calif has developed an ornamental design for a handset the us patent trademark office announced,neutral
364,intends to set up a plant to manufacture printed circuit boards with an investment of rs crore,neutral
365,develops manufactures and markets liquid handling products and diagnostic test systems for use in research healthcare and industrial laboratories,neutral
366,earnings per share are seen at up from,positive
367,estonia s beer market overall grew three percent last year to million liters,positive
368,finnish food company hel said on friday it has wrapped up the divestment of its margarine operations to us sector player bg for m,neutral
369,finnish lifting equipment maker hel said on july it has raised its stake in austrian manipulator maker to and bought german sector player knight europe,positive
370,following the increase the tm s capital totals romanian lei euro,neutral
371,in it generated net sales of million m,neutral
372,most of the increase in net sales was due to the acquisition of swedish silva that produces garden tools and boats,positive
373,mr deputy executive chairman of sports direct sold a pc stake in the company for more than pounds m at the time of the float,neutral
374,rental of building equipment accounted for percent of the operating income,neutral
375,s delivery includes steel structures including installation for bascule bridge and steel piles for the bridge foundations,neutral
376,was established in in finland and it became the first foreign company to enter russia s retail trade market in,neutral
377,the wig index ended thursday s session pct up at pts while the wig was down at pts,neutral
378,the business to be divested generates consolidated net sales of million annually and currently has some employees,neutral
379,the company generates net sales of about euro annually and employs,neutral
380,the company plans to expand into the international market through its subsidiaries and distributors from onwards,positive
381,the contract covers the manufacturing and installation of the steel structures,neutral
382,the corresponding increase in the share capital in total was registered in the finnish trade register on may,neutral
383,the order also includes startup and commissioning services,neutral
384,the order consists of capacity expansion maintenance services and new charging functionality the company said,neutral
385,the phones are targeted at first time users in growth markets,neutral
386,the repayment of million debenture bonds is related to the company s previous announcement on october to collect irrevocable selling commitments from the holders of its subordinated debenture bonds,neutral
387,the revenues of the business reached million for,neutral
388,generated net sales of euro in,neutral
389,powder coatings has some employees at its four paint plants which generated revenues of m m in,neutral
390,under the rental agreement was committed to invest in the building of a bridge over the street or build an underground tunnel for crossing the street by,neutral
391,generates annual net sales of about and employs people,neutral
392,earnings per share for the first quarter amounted to up from,positive
393,jan ford is struggling in the face of slowing truck and sales and a surfeit of cars,negative
394,s business operations in norway and russia acquired in july are included in the figures of the comparable period impacting sales growth starting from august,neutral
395,operating profit was mn up from mn,positive
396,pharmaceuticals group orion corp reported a fall in its earnings that were hit by larger expenditures on rd and marketing,negative
397,however the growth margin slowed down due to the financial crisis,negative
398,significance has emphasised that with its large size and growing economy as well as the rapid development of its tv services distribution industry poland is viewed as an attractive market,positive
399,helsinki tyres reported a fourth quarter pretax profit of up from on the back of strong sales,positive
400,group which is owned by denmark s royal raised its market share to percent from percent as beer sales for the seven months jumped by percent to million liters,positive
401,group which is owned by denmark s royal raised its market share to percent from percent as beer sales for the nine months jumped by percent to million liters,positive
402,more staff has been recruited in japan to further complement its network of close to service locations in more than countries worldwide,positive
403,corporation stock exchange release december at noon s construction and engineering divisions are to further improve and adjust their operations in finland,positive
404,the local arm of finnish metal producer increased its capital by euro through cash contribution it was reported on september,positive
405,finland oy signed a a preliminary agreement for the building of an environmentally friendly new generation cruise ferry for viking line to manage on between finland and stockholm sweden line abp,positive
