,sentence,sentiment
143,finnish financial group s operating profit for increased to mn from mn in,positive
144,finnish forest machinery manufacturer s net sales grew to mn in the first quarter of from mn in the corresponding period in,positive
145,finnish has raised its net sales growth estimate for from over to over,positive
146,finnish that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company have signed a contract under which will supply mono silicon crystals for use in solar cell manufacturing,positive
147,finnish pharmaceuticals company orion s net sales rose to mn in the first quarter of from mn in the first quarter of,positive
148,finnish has signed an agreement with babcock africa for the distribution and support of forest machines harvester heads and information systems in south africa,positive
149,south african will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish corporation s graphic papers business unit,positive
150,according to deputy md the aim is double turnover over the next three years,positive
151,according to finland the plan is to increase s net sales to mn to mn,positive
152,advertising and circulation revenues grew by and by respectively,positive
153,after the takeover will become the second largest rental services provider in the latvian market,positive
154,again the most significant sales increase of was in russia,positive
155,alma media expects its net sales to increase as forecast previously,positive
156,also s profit for accounting period went up to mn from mn a year ago,positive
157,at the end of march the group s order book was at mn up from the corresponding period in,positive
158,at the same time profit of the company increased by in h and reached ls,positive
159,aviation systems maintenance is based in kansas and generated net sales of million for,neutral
160,besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment said,positive
161,both operating profit and net sales for the month period increased respectively from m and m as compared to the financial year,positive
162,both operating profit and net sales for the month period increased respectively from m and m as compared to the financial year,positive
163,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
164,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
165,both operating profit and net sales for the period increased respectively by and as compared to the corresponding period in,positive
166,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
167,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
168,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
169,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
170,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
171,both operating profit and net sales for the period increased respectively from m and as compared to the corresponding quarter in,positive
172,both operating profit and sales for the period increased respectively from m and m as compared to the corresponding period in,positive
173,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
174,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period in,positive
175,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
176,cargo volume grew by,positive
177,cargo volume increased by approximately,positive
178,comparable operating profit totaled mn up from mn in,positive
179,said its consolidated net sales for were m up on the same period in m,positive
180,diluted earnings per share rose to from,positive
181,diluted earnings per share rose to versus,positive
182,diluted earnings per share rose to from,positive
183,diluted earnings per share rose to from,positive
184,diluted rose to from,positive
185,margin was up from to,positive
186,editor s note generated a euro turnover in ansa reported on may,neutral
187,for the quarter was as compared with in the third quarter of representing a group net sales for the third quarter were m up by as compared with m in the third quarter of,positive
188,from continuing operations came in at up from,positive
189,equity ratio was compared to in the third quarter of net sales of the frozen foods business totaled up by about from the third quarter of,positive
190,in q may finnish textile and clothing design company hel said today its net profit rose to in the first quarter of from in the corresponding period a year earlier,positive
191,se a privately held provider of electronics manufacturing services to communications companies said thursday it signed a manufacturing supply deal with communications equipment company andrew corp,positive
192,finnish cutlery and hand tools maker abp hel said today its net profit rose to million m in the third quarter of from million a year earlier,positive
193,finnish department store chain abp net profit rose to euro for the first nine months of from euro for the same period of,positive
194,finnish lifting equipment maker said on july that its net profit rose to euro for the first half of from euro for the same period of,positive
195,finnish messaging solutions developer corporation helsinki said on thursday december that it has received an expansion order for its convergent charging solution in latin america,positive
196,finnish metal industry solutions supplier net profit rose to euro for the first nine months of from euro for the same period of,positive
197,finnish metal products company net profit rose to euro for the first quarter of from euro for the same period of,positive
198,finnish office supplies and computer accessories dealer said its net profit rose to euro in from euro in,positive
199,finnish security and privacy software solutions developer said on january that the preliminary sales of its products grew by pct to euro for the fourth quarter of,positive
200,finnish silicon wafer technology company helsinki reported on thursday august an operating profit of m for the period up from m in the corresponding period in,positive
201,finnish software developer done solutions said its net profit increased to euro in from euro in,positive
202,first quarter underlying operating profit rose to from a year earlier,positive
203,following the acquisition will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,positive
204,for the first nine months of the company s net profit rose to from for the corresponding period of,positive
205,helsinki retail and wholesale group reported net sales of for february an increase of pct,positive
206,however net sales in are seen to have grown to m from m in,positive
207,however sales returned to growth in said,positive
208,which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share,positive
209,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million litres,positive
210,in generated revenue of approx,neutral
211,in addition signed a maintenance contract for the escalators,positive
212,in december alone the members of the lithuanian brewers association sold a total of million liters of beer an increase of percent from the sales of million liters in december,positive
213,in the group s net interest income increased to mn from mn in,positive
214,in q of bank of land s net interest income increased from mn to mn,positive
215,in sweden operating profit for the period under review totaled mn up from the corresponding period in,positive
216,in the fourth quarter of orion s net profit went up by to,positive
217,in the second quarter of the group s net profit rose to million from million in,positive
218,in the second quarter of the group s net profit rose to m from m in,positive
219,in the third quarter net sales increased by to million or by at comparable currency rates growth,positive
220,in the third quarter net sales increased by to m or by at comparable currency rates growth,positive
221,estimates it will generate a revenue of euro from its indian operations for,neutral
222,its market share widened to percent from percent a year earlier,positive
223,its total annual revenue comes up to about zloty euro,neutral
224,the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of million euros in an increase by over the preceding year,positive
225,s car import and retailing business saw sales grow by pct,positive
226,s net sales rose by some in the first nine months of,positive
227,adp news finnish management software solutions provider hel said today its net profit rose to million m for from million for,positive
228,adp news finnish it solutions provider hel said today its net profit rose to million m in from million in,positive
229,adp news finnish fishing tackle company corp hel said today its net profit rose to million m for from million for,positive
230,adp news nov finnish electronic measurement products and solutions maker said today that its net profit rose to million m for the first nine months of from,positive
231,adp news oct finnish lifting equipment maker said today that its net profit rose to million m in the first nine months of from million for the s,positive
232,expects its net sales to increase by about in at comparable exchange rates,positive
233,generated a turnover of bn in and has employees,neutral
234,oil corp has signed procurement contracts with oy and protein oy both owned by finnish food manufacturers for the supply of animal fat for production at s bcd finland refinery,positive
235,net interest income increased by to mn from mn in,positive
236,net interest income was mn up from mn in,positive
237,net interest income was mn up from mn,positive
238,net sales of the vegetable oil business rose to mn from mn,positive
239,multimedia s net sales totaled bn up from the corresponding period in,positive
240,operating income rose to mn from mn in,positive
241,operating profit of group rose to mn from mn and that of marketplaces to mn from mn in the third quarter of,positive
242,operating profit rose from mn to mn,positive
243,operating profit rose to from,positive
244,operating profit rose to mn from mn in the corresponding period in,positive
245,operating profit rose to mn from in the corresponding period in,positive
246,operating profit rose to mn from mn in the corresponding period in,positive
247,operating profit rose to mn from mn in the corresponding period in,positive
248,operating profit rose to mn from mn in,positive
249,operating profit rose to mn from mn in the corresponding period in,positive
250,operating profit rose to mn from mn,positive
251,operating profit rose to mn from mn,positive
252,operating profit rose to mn from mn in the corresponding period in,positive
253,operating profit rose to m from m year earlier,positive
254,operating profit surged to from,positive
255,operating profit totaled mn up slightly from mn in the corresponding period in,positive
256,operating profit totaled mn up from mn,positive
257,operating profit was mn up from mn,positive
258,operating profit was mn up from mn,positive
259,order intake grew by and respectively to million and billion for the respective and periods,positive
260,orders received grew by to,positive
261,orion s operating profit increased by from,positive
262,passenger volumes rose by in the accounting period,positive
263,revenue rose by to mn from mn in,positive
264,press release october has signed a contract to deliver and install the steel structures for a bridge over the strait in finland,positive
265,pretax profit rose to mn from mn in the corresponding period in,positive
266,pretax profit rose to mn from in the corresponding period in,positive
267,pretax profit rose to mn from mn in,positive
268,pretax profit totaled mn up from mn,positive
269,previously the company had guided for and sales growth of pct and pct respectively for this year,positive
270,previously the company has estimated its operating profit to reach the level of only,positive
271,profit for the period totaled mn up from mn in the corresponding period in,positive
272,profit for the period was mn up from mn,positive
273,profit for the period was mn up from mn in,positive
274,revenue grew percent to billion us billion,positive
275,revenue in july to september grew percent to euro million from a year earlier the company said thursday,positive
276,revenues at the same time grew percent to million euros,positive
277,has signed a contract to deliver and install the steel structures for a bridge over the strait in finland,positive
278,sales in latin america increased by to mn and a total of mn mobile devices were sold in the area representing an increase of from the corresponding period in,positive
279,sales of clothing developed best,positive
280,magazines finland s net sales grew to mn from mn,positive
281,s net profit for the third quarter of rose to euro from euro for the same period of,positive
282,section regional news the demand in s asian traffic measured in passenger kilometers was up in august compare to last year,positive
283,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million liters,positive
284,that would be an increase from estimated sales of million last year,positive
285,the agreement expands structures scope of use to bridge design,positive
286,the aim is to increase sales by at least one fifth in,positive
287,the chain posted sales of million euros for full a rise of percent,positive
288,the company expects its net sales in to increase from,positive
289,the company expects its net sales in the first half of to reach the previous year s level,positive
290,the company is in the process of building a new fleet and has placed orders for tankers of dwt,positive
291,the company s operating income totalled mn up from mn,positive
292,the outlook was increased by pct for and pct for,positive
293,the fair value of the investment properties totaled mn up from mn in,positive
294,the finnish government announced wednesday that it sold a percent stake in chemicals and fertilizer group for million us million sending the company s share price up percent,positive
295,the firm generated sales of in,neutral
296,the german company has also signed a code share agreement with another member american airlines inc part of corp,positive
297,the company which also owns the salomon atomic and brands said net profit rose percent in the three months through dec to million us million from million a year earlier,positive
298,the increase in capital stock has been registered in the finnish trade register on november,positive
299,the operating profit for grain trading increased to mn from mn in,positive
300,the stock rose for a second day on wednesday bringing its rise to or,positive
301,the stock rose for a third day on tuesday bringing its rise to or,positive
302,the transaction is in line with s strategy to expand in the baltic sea region and in the eastern markets,positive
303,the transactions would increase earnings per share in the first quarter by some,positive
304,there has been some recovery of the base metals prices and increased demand for metals in china however,positive
305,this new representation extends s global presence to a total of countries serving over customers in over countries worldwide,positive
306,itself uses s mobile suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers,positive
307,total operating revenue grew by to,positive
308,s cash flow from operations grew to mn from mn a year ago,positive
309,will supply drives to in the power range from kw up to mw,neutral
310,we also strengthen our existing partnership with says cto,positive
311,via the acquisition plans to further expand its market presence as a video services partner for cable operators broadcasters and service providers,positive
312,with the acquisition the company will expand its offering to north central and south america it said,positive
313,with the extension of the new contract for a further eight engines the plant will now produce over mw it said,positive
314,says the acquisition is a part of its strategy for expansion in central and eastern european markets,positive
315,s product sales grew strongly in the financial period by percent,positive
316,the second quarter of was the with growth in net sales since the third quarter of said magnus,positive
317,the transaction strengthens our position in design and branded goods said president and pointing out that the two groups have relatively few overlapping operations,positive
318,february finnish textile and clothing company hel said today its preliminary operating profit grew to m in from m in,positive
319,finnish has published its new strategy for the period with the aim of growing together with its customers,neutral
320,finnish has signed a contract with the project for the delivery of filters to the nickel mine in in finland,positive
321,expects its net sales for the whole to increase from the level when they reached million,positive
322,cash flow from operations rose to mn from mn in,positive
323,commission income rose by to mn from mn in,positive
324,s objective with this agreement is to increase business on its existing production lines,positive
325,earnings per share for were an increase of,positive
326,earnings per share rose to from,positive
327,said mobile subscriptions grew percent during mainly because of customers adopting third generation mobile technology,positive
328,for the quarter came in at up from a year ago and ahead of forecast of,positive
329,grew to from,positive
330,exports grew percent to million liters,positive
331,finnish investment group said its net profit went up to euro in fiscal ended october from euro in the same period of fiscal,positive
332,finnish metal components supplier said its net profit went up to euro in from euro in,positive
333,finnish silicon wafer technology company helsinki reported on thursday october an operating profit of m for up from m in the corresponding period in,positive
334,brands report net sales of mn up from mn,positive
335,s business unit the mobile digital lifestyle application and social networking platform has signed an agreement with to make the mobile social networking platform available to customers of china mobile,positive
336,helsinki technology said it has signed a agreement with mongolia s mining corporation for the engineering of the first plant to be built at the mine site,positive
337,however the proportion of the paid standing orders grew in,positive
338,in addition to the demand in finland the export of lining stone products also increased,positive
339,in the group s net sales from continuing operations rose to mn from mn in the corresponding period in,positive
340,in s net sales increased to mn compared to mn in the corresponding period in,positive
341,in the reporting period net sales rose by to m due to the business acquisitions realized during the first half of the effect of which was m in the review period,positive
342,in the reporting period the company s operating profit grew by to million,positive
343,last year s net sales rose to million from million,positive
344,last year the company raised its turnover to approximately million litas from million litas in,positive
345,adp news nov finnish ac drives manufacturer said today that it had set up new representative offices in and ukraine to serve the growing markets in eastern and southeastern europe,positive
346,group s net sales are estimated to increase by about,positive
347,net sales surged by to million,positive
348,net sales went up by to million affected by the business acquisitions realized during the previous financial period the effect of which was million on the review period,positive
349,nevertheless its market share rose to percent from percent a year earlier,positive
350,the world s largest mobile phone manufacturer and china postel china s largest mobile phone distributor have a longstanding partnership that continues to grow stronger over time,positive
351,sales were or a pct increase year on year,positive
352,which controls a percent stake in through a le said in its annual report published earlier this year that the lithuanian brewery s sales reached million euros last year a rise of percent from million euros in,positive
353,expects sales and market share to increase in the first quarter of,positive
354,s target is to strengthen its market share in soft drinks mineral waters ciders long drinks and energy drinks,neutral
355,operating profit increased to mn from mn in the corresponding period in,positive
356,operating profit of the asian plants grew markedly,positive
357,operating profit totaled mn up from mn in,positive
358,operating profit totalled mn up from mn,positive
359,production capacity will increase from to tonnes per year and the raw material will continue to be recycled paper and board,positive
360,profit for the period increased from mn to mn,positive
361,profit per share was up from,positive
362,return on capital employed rose by percentage points to,positive
363,revenue from july to september grew percent to euro billion the finnish company said thursday,positive
364,revenue grew percent to euro million us million from euro million,positive
365,s order book at the end of was up and up,positive
366,signed the contract with norwegian company as,positive
367,sales in finland rose by and international growth was,positive
368,sales of security and system packaging increased slightly,positive
369,s pretax profit doubled to mn,positive
370,strongest growth was seen in the new markets in russia the czech republic and,positive
371,the airline has ordered nine airbus a aircraft with deliveries from and in doing so becomes the lead airline for the latest variant of trent series engines called the,positive
372,the company is now intensifying its smelter operations and increasing its annual production capacity to tonnes of copper,positive
373,the company s market share is continued to increase further,positive
374,the company s scheduled traffic measured in revenue passenger grew by just over and nearly more passengers were carried on scheduled flights than in february,positive
375,the company said that its investments in the new market areas resulted in sales increase in sweden poland russia and lithuania,positive
376,the disposal of will also strengthen s capital structure commented of,positive
377,the earnings per share for the quarter came in at up from the of the same quarter a year earlier,positive
378,the economic occupancy rate of s property portfolio rose to from in,positive
379,the finnish supplier of and vas for operators has received expansion orders worth a total us mn for its convergent charging and next generation messaging solutions in latin america the company announced without specifying which operators had placed the orders,positive
380,the group s month operating profit grew percent to million euros,positive
381,the growth in the activeness of s customers which started at the end of continued during the reporting period the company stated,positive
382,the growth of net sales in the first half of has been compared with the first half of,positive
383,the pretax profit of the group s life insurance business increased to million from million,positive
384,the pretax profit of the group s life insurance business increased to from,positive
385,the total delivery volume of paper businesses in was tonnes up from tonnes in,positive
386,the value of the firm s forestry holdings increased by bn,positive
387,this new deal has strengthened the partnership from and which it has started since the beginning of s prepaid operations,positive
388,turnover rose to from,positive
389,xerox and have teamed up to tailor the to the packaging market,positive
390,construction and the town of have signed a lease contract whereby the town will occupy the travel centre office facilities,positive
391,the upgrade is intended to raise the network capacity from mhz to mhz in several cities enabling bidirectional services for digital television as well as broadband data,positive
392,the finnish company has signed the contract with the company,neutral
393,according to its notice ab publ helsinki branch has on august divested in total alma media shares to and oy as the conditions of the agreement made by the companies on july fulfilled,neutral
394,as previously announced entered into financing agreements with its lead investor on june enabling the company to receive financing up to the aggregate amount of m,neutral
395,at the same time the market for automated liquid handling devices is already larger than that for pipettes according to,neutral
396,s said that the company has developed and already delivered power supply units to respective systems based on this technology to chinese sector company corp she,neutral
397,finnish mining co hel said thursday it had picked lynch and as joint of its planned issue of convertible notes worth up to,neutral
398,lead production in turn should increase to tonnes through in what would be a twofold increase from current capacity levels said,positive
399,said that it has signed credit agreements with bank bank hel bank hel samas and a,neutral
