,sentence,sentiment
148,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
149,both operating profit and net sales for the month period increased respectively from m and m as compared to,positive
150,both operating profit and net sales for the period increased respectively by and as compared to the corresponding period in,positive
151,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
152,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
153,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
154,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
155,both operating profit and net sales for the period increased respectively from m and m as compared to the corresponding period in,positive
156,both operating profit and net sales for the period increased respectively from m and as compared to the corresponding quarter in,positive
157,both operating profit and sales for the period increased respectively from m and m as compared to the corresponding period in,positive
158,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
159,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period in,positive
160,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period a year ago,positive
161,cargo volume grew by,positive
162,cargo volume increased by approximately,positive
163,comparable operating profit totaled mn up from mn in,positive
164,said its consolidated net sales for were m up on the same period in m,positive
165,diluted earnings per share rose to from,positive
166,diluted earnings per share rose to versus,positive
167,diluted earnings per share rose to from,positive
168,diluted earnings per share rose to from,positive
169,diluted rose to from,positive
170,margin was up from to,positive
171,for the quarter was as compared with in the third quarter of representing a group net sales for the third quarter were m up by as compared with m in the third quarter of,positive
172,from continuing operations came in at up from,positive
173,equity ratio was compared to in the third quarter of net sales of the frozen foods business totaled up by about from the third quarter of,positive
174,in q may finnish textile and clothing design company hel said today its net profit rose to in the first quarter of from in the corresponding period a year earlier,positive
175,se a privately held provider of electronics manufacturing services to communications companies said thursday it signed a manufacturing supply deal with communications equipment company andrew corp,positive
176,finnish cutlery and hand tools maker abp hel said today its net profit rose to million m in the third quarter of from million a year earlier,positive
177,finnish department store chain abp net profit rose to euro for the first nine months of from euro for the same period of,positive
178,finnish lifting equipment maker said on july that its net profit rose to euro for the first half of from euro for the same period of,positive
179,finnish messaging solutions developer corporation helsinki said on thursday december that it has received an expansion order for its convergent charging solution in latin america,positive
180,finnish metal industry solutions supplier net profit rose to euro for the first nine months of from euro for the same period of,positive
181,finnish metal products company net profit rose to euro for the first quarter of from euro for the same period of,positive
182,finnish office supplies and computer accessories dealer said its net profit rose to euro in from euro in,positive
183,finnish security and privacy software solutions developer said on january that the preliminary sales of its products grew by pct to euro for the fourth quarter of,positive
184,finnish silicon wafer technology company helsinki reported on thursday august an operating profit of m for the period up from m in the corresponding period in,positive
185,finnish software developer done solutions said its net profit increased to euro in from euro in,positive
186,first quarter underlying operating profit rose to from a year earlier,positive
187,following the acquisition will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,positive
188,for the first nine months of the company s net profit rose to from for the corresponding period of,positive
189,helsinki retail and wholesale group reported net sales of for february an increase of pct,positive
190,however net sales in are seen to have grown to m from m in,positive
191,however sales returned to growth in said,positive
192,which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share,positive
193,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million litres,positive
194,in generated revenue of approx,neutral
195,in addition signed a maintenance contract for the escalators,positive
196,in december alone the members of the lithuanian brewers association sold a total of million liters of beer an increase of percent from the sales of million liters in december,positive
197,in the group s net interest income increased to mn from mn in,positive
198,in q of bank of land s net interest income increased from mn to mn,positive
199,in sweden operating profit for the period under review totaled mn up from the corresponding period in,positive
200,in the fourth quarter of orion s net profit went up by to,positive
201,in the second quarter of the group s net profit rose to million from million in,positive
202,in the second quarter of the group s net profit rose to m from m in,positive
203,in the third quarter net sales increased by to million or by at comparable currency rates growth,positive
204,in the third quarter net sales increased by to m or by at comparable currency rates growth,positive
205,estimates it will generate a revenue of euro from its indian operations for,neutral
206,its market share widened to percent from percent a year earlier,positive
207,its total annual revenue comes up to about zloty euro,neutral
208,the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of million euros in an increase by over the preceding year,positive
209,s car import and retailing business saw sales grow by pct,positive
210,s net sales rose by some in the first nine months of,positive
211,adp news finnish management software solutions provider hel said today its net profit rose to million m for from million for,positive
212,adp news finnish it solutions provider hel said today its net profit rose to million m in from million in,positive
213,adp news finnish fishing tackle company corp hel said today its net profit rose to million m for from million for,positive
214,adp news nov finnish electronic measurement products and solutions maker said today that its net profit rose to million m for the first nine months of from,positive
215,adp news oct finnish lifting equipment maker said today that its net profit rose to million m in the first nine months of from million for the s,positive
216,expects its net sales to increase by about in at comparable exchange rates,positive
217,oil corp has signed procurement contracts with oy and protein oy both owned by finnish food manufacturers for the supply of animal fat for production at s bcd finland refinery,positive
218,net interest income increased by to mn from mn in,positive
219,net interest income was mn up from mn in,positive
220,net interest income was mn up from mn,positive
221,net sales of the vegetable oil business rose to mn from mn,positive
222,multimedia s net sales totaled bn up from the corresponding period in,positive
223,operating income rose to mn from mn in,positive
224,operating profit of group rose to mn from mn and that of marketplaces to mn from mn in the third quarter of,positive
225,operating profit rose from mn to mn,positive
226,operating profit rose to from,positive
227,operating profit rose to mn from mn in the corresponding period in,positive
228,operating profit rose to mn from in the corresponding period in,positive
229,operating profit rose to mn from mn in the corresponding period in,positive
230,operating profit rose to mn from mn in the corresponding period in,positive
231,operating profit rose to mn from mn in,positive
232,operating profit rose to mn from mn in the corresponding period in,positive
233,operating profit rose to mn from mn,positive
234,operating profit rose to mn from mn,positive
235,operating profit rose to mn from mn in the corresponding period in,positive
236,operating profit rose to m from m year earlier,positive
237,operating profit surged to from,positive
238,operating profit totaled mn up slightly from mn in the corresponding period in,positive
239,operating profit totaled mn up from mn,positive
240,operating profit was mn up from mn,positive
241,operating profit was mn up from mn,positive
242,order intake grew by and respectively to million and billion for the respective and periods,positive
243,orders received grew by to,positive
244,orion s operating profit increased by from,positive
245,passenger volumes rose by in the accounting period,positive
246,revenue rose by to mn from mn in,positive
247,press release october has signed a contract to deliver and install the steel structures for a bridge over the strait in finland,positive
248,pretax profit rose to mn from mn in the corresponding period in,positive
249,pretax profit rose to mn from in the corresponding period in,positive
250,pretax profit rose to mn from mn in,positive
251,pretax profit totaled mn up from mn,positive
252,previously the company had guided for and sales growth of pct and pct respectively for this year,positive
253,profit for the period totaled mn up from mn in the corresponding period in,positive
254,profit for the period was mn up from mn,positive
255,profit for the period was mn up from mn in,positive
256,revenue grew percent to billion us billion,positive
257,revenue in july to september grew percent to euro million from a year earlier the company said thursday,positive
258,revenues at the same time grew percent to million euros,positive
259,has signed a contract to deliver and install the steel structures for a bridge over the strait in finland,positive
260,sales in latin america increased by to mn and a total of mn mobile devices were sold in the area representing an increase of from the corresponding period in,positive
261,sales of clothing developed best,positive
262,magazines finland s net sales grew to mn from mn,positive
263,s net profit for the third quarter of rose to euro from euro for the same period of,positive
264,section regional news the demand in s asian traffic measured in passenger kilometers was up in august compare to last year,positive
265,which is controlled by the nordic group baltic beverages holding posted a percent growth in beer sales for to million liters,positive
266,that would be an increase from estimated sales of million last year,positive
267,the agreement expands structures scope of use to bridge design,positive
268,the aim is to increase sales by at least one fifth in,positive
269,the chain posted sales of million euros for full a rise of percent,positive
270,the company expects its net sales in to increase from,positive
271,the company expects its net sales in the first half of to reach the previous year s level,positive
272,the company is in the process of building a new fleet and has placed orders for tankers of dwt,positive
273,the company s operating income totalled mn up from mn,positive
274,the outlook was increased by pct for and pct for,positive
275,the fair value of the investment properties totaled mn up from mn in,positive
276,the finnish government announced wednesday that it sold a percent stake in chemicals and fertilizer group for million us million sending the company s share price up percent,positive
277,the firm generated sales of in,neutral
278,the german company has also signed a code share agreement with another member american airlines inc part of corp,positive
279,the company which also owns the salomon atomic and brands said net profit rose percent in the three months through dec to million us million from million a year earlier,positive
280,the operating profit for grain trading increased to mn from mn in,positive
281,the stock rose for a second day on wednesday bringing its rise to or,positive
282,the stock rose for a third day on tuesday bringing its rise to or,positive
283,the transaction is in line with s strategy to expand in the baltic sea region and in the eastern markets,positive
284,the transactions would increase earnings per share in the first quarter by some,positive
285,there has been some recovery of the base metals prices and increased demand for metals in china however,positive
286,this new representation extends s global presence to a total of countries serving over customers in over countries worldwide,positive
287,itself uses s mobile suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers,positive
288,total operating revenue grew by to,positive
289,s cash flow from operations grew to mn from mn a year ago,positive
290,we also strengthen our existing partnership with says cto,positive
291,via the acquisition plans to further expand its market presence as a video services partner for cable operators broadcasters and service providers,positive
292,with the acquisition the company will expand its offering to north central and south america it said,positive
293,with the extension of the new contract for a further eight engines the plant will now produce over mw it said,positive
294,says the acquisition is a part of its strategy for expansion in central and eastern european markets,positive
295,s product sales grew strongly in the financial period by percent,positive
296,the second quarter of was the with growth in net sales since the third quarter of said magnus,positive
297,the transaction strengthens our position in design and branded goods said president and pointing out that the two groups have relatively few overlapping operations,positive
298,february finnish textile and clothing company hel said today its preliminary operating profit grew to m in from m in,positive
299,finnish has published its new strategy for the period with the aim of growing together with its customers,neutral
300,finnish has signed a contract with the project for the delivery of filters to the nickel mine in in finland,positive
301,expects its net sales for the whole to increase from the level when they reached million,positive
302,cash flow from operations rose to mn from mn in,positive
303,commission income rose by to mn from mn in,positive
304,earnings per share for were an increase of,positive
305,earnings per share rose to from,positive
306,said mobile subscriptions grew percent during mainly because of customers adopting third generation mobile technology,positive
307,for the quarter came in at up from a year ago and ahead of forecast of,positive
308,grew to from,positive
309,exports grew percent to million liters,positive
310,finnish investment group said its net profit went up to euro in fiscal ended october from euro in the same period of fiscal,positive
311,finnish metal components supplier said its net profit went up to euro in from euro in,positive
312,finnish silicon wafer technology company helsinki reported on thursday october an operating profit of m for up from m in the corresponding period in,positive
313,brands report net sales of mn up from mn,positive
314,helsinki technology said it has signed a agreement with mongolia s mining corporation for the engineering of the first plant to be built at the mine site,positive
315,however the proportion of the paid standing orders grew in,positive
316,in addition to the demand in finland the export of lining stone products also increased,positive
317,in the group s net sales from continuing operations rose to mn from mn in the corresponding period in,positive
318,in s net sales increased to mn compared to mn in the corresponding period in,positive
319,in the reporting period net sales rose by to m due to the business acquisitions realized during the first half of the effect of which was m in the review period,positive
320,in the reporting period the company s operating profit grew by to million,positive
321,last year s net sales rose to million from million,positive
322,last year the company raised its turnover to approximately million litas from million litas in,positive
323,adp news nov finnish ac drives manufacturer said today that it had set up new representative offices in and ukraine to serve the growing markets in eastern and southeastern europe,positive
324,group s net sales are estimated to increase by about,positive
325,net sales surged by to million,positive
326,net sales went up by to million affected by the business acquisitions realized during the previous financial period the effect of which was million on the review period,positive
327,nevertheless its market share rose to percent from percent a year earlier,positive
328,the world s largest mobile phone manufacturer and china postel china s largest mobile phone distributor have a longstanding partnership that continues to grow stronger over time,positive
329,sales were or a pct increase year on year,positive
330,which controls a percent stake in through a le said in its annual report published earlier this year that the lithuanian brewery s sales reached million euros last year a rise of percent from million euros in,positive
331,expects sales and market share to increase in the first quarter of,positive
332,operating profit increased to mn from mn in the corresponding period in,positive
333,operating profit of the asian plants grew markedly,positive
334,operating profit totaled mn up from mn in,positive
335,operating profit totalled mn up from mn,positive
336,production capacity will increase from to tonnes per year and the raw material will continue to be recycled paper and board,positive
337,profit for the period increased from mn to mn,positive
338,profit per share was up from,positive
339,return on capital employed rose by percentage points to,positive
340,revenue from july to september grew percent to euro billion the finnish company said thursday,positive
341,revenue grew percent to euro million us million from euro million,positive
342,s order book at the end of was up and up,positive
343,signed the contract with norwegian company as,positive
344,sales in finland rose by and international growth was,positive
345,sales of security and system packaging increased slightly,positive
346,s pretax profit doubled to mn,positive
347,strongest growth was seen in the new markets in russia the czech republic and,positive
348,the airline has ordered nine airbus a aircraft with deliveries from and in doing so becomes the lead airline for the latest variant of trent series engines called the,positive
349,the company is now intensifying its smelter operations and increasing its annual production capacity to tonnes of copper,positive
350,the company s market share is continued to increase further,positive
351,the company s scheduled traffic measured in revenue passenger grew by just over and nearly more passengers were carried on scheduled flights than in february,positive
352,the company said that its investments in the new market areas resulted in sales increase in sweden poland russia and lithuania,positive
353,the disposal of will also strengthen s capital structure commented of,positive
354,the earnings per share for the quarter came in at up from the of the same quarter a year earlier,positive
355,the economic occupancy rate of s property portfolio rose to from in,positive
356,the finnish supplier of and vas for operators has received expansion orders worth a total us mn for its convergent charging and next generation messaging solutions in latin america the company announced without specifying which operators had placed the orders,positive
357,the group s month operating profit grew percent to million euros,positive
358,the growth in the activeness of s customers which started at the end of continued during the reporting period the company stated,positive
359,the growth of net sales in the first half of has been compared with the first half of,positive
360,the pretax profit of the group s life insurance business increased to million from million,positive
361,the pretax profit of the group s life insurance business increased to from,positive
362,the total delivery volume of paper businesses in was tonnes up from tonnes in,positive
363,the value of the firm s forestry holdings increased by bn,positive
364,this new deal has strengthened the partnership from and which it has started since the beginning of s prepaid operations,positive
365,turnover rose to from,positive
366,xerox and have teamed up to tailor the to the packaging market,positive
367,construction and the town of have signed a lease contract whereby the town will occupy the travel centre office facilities,positive
368,the upgrade is intended to raise the network capacity from mhz to mhz in several cities enabling bidirectional services for digital television as well as broadband data,positive
369,according to its notice ab publ helsinki branch has on august divested in total alma media shares to and oy as the conditions of the agreement made by the companies on july fulfilled,neutral
370,at the same time the market for automated liquid handling devices is already larger than that for pipettes according to,neutral
371,s said that the company has developed and already delivered power supply units to respective systems based on this technology to chinese sector company corp she,neutral
372,finnish mining co hel said thursday it had picked lynch and as joint of its planned issue of convertible notes worth up to,neutral
373,lead production in turn should increase to tonnes through in what would be a twofold increase from current capacity levels said,positive
374,separately corporation and austrian firm e ag last week signed an agreement on the sale of e s building system service business in germany austria poland the czech republic hungary and for,positive
375,the estimated value of the contract is m headquartered in helsinki in finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry,neutral
376,the mall is part of the baltic pearl development project in the city of st petersburg where baltic pearl a subsidiary of shanghai foreign joint investment company is developing homes for people,neutral
377,the new facility to be known as will introduce to the russian market an entirely new concept of creating operating and growing a science and technology park to support the growth of companies,neutral
378,to our members and partners the use of it will mostly be apparent in the increased efficiency of the results service observes from,positive
379,controls a further of the company via investment fund power fund i,neutral
380,this order is included in s order book in the second quarter the company added,neutral
381,management decided at the end of to increase cathode copper capacity,neutral
382,complete name of the shareholder otto further information the amount of shares now transferred corresponds to of the total number of shares in,neutral
383,a data processing unit collects the data calculates values and provides the data to users via various interfaces,neutral
384,alexandria va march salmi and hanna both of finland and of ii finland have developed an ornamental design for a handset the us patent trademark office announced,neutral
385,alexandria va oct markka a and both of helsinki finland juha of finland and of finland have developed a system for providing communications security,neutral
386,as earlier reported tyres is building a plant in the town of in russia s leningrad region with an annual production capacity of million tires,neutral
387,compared with the index which rose points or on the day this was a relative price change of,negative
388,finland s tyres and s corporation signed an agreement to build a plant in to produce car tires chairman said at a press conference,positive
389,furthermore will also sign a licensing agreement for the and brands,positive
390,german ag s hamburg branch and us morgan participated as arrangers and dutch ing inga as,neutral
391,in april separated from its parent company finnish energy company and became listed on the helsinki stock exchange,neutral
392,in russia s food division s home market stretches all the way to,neutral
393,in september the finnish group agreed to buy danish company rose poultry as for up to m in a combination of cash and stock,positive
394,increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan,neutral
395,it has some offices worldwide and more than pct of its net sales are generated outside finland,neutral
396,it has branches in finland with annual revenue in finland of,neutral
397,press release at group is expanding its strategic partnership with bp industrial lubricants services bp by acquiring total ownership of bp s swedish retail company ab,positive
398,milan the italian shipping group has increased its stake in the finnish company to pct from the pct held in june according to news agency ansa,neutral
399,messaging enables customers to receive from up to email accounts on their mobile phone supporting all pop or email services,neutral
400,production capacity will rise gradually from tonnes to tonnes,positive
401,share repurchase in the helsinki stock exchange on behalf of bank as helsinki branch,neutral
